 #  | matching ident  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  Mag J  |  Mag H  |  Mag K  |  Mag g  |    spec. type     |#bib|#not
793 |WRAY 15-665      |Gaia DR3 5338245024400075136       |Be*|10 51 10.0948417344 -60 41 34.087493976|     ~   |10.15    |10.03    |10.37    |     ~   |10.014   |9.982    |9.972    |10.29    |OB                 |  25|   0
794 |WRAY 15-667      |Gaia DR3 5229297062855751552       |Em*|10 51 32.3378658624 -73 08 15.765186336|     ~   |11.31    |11.10    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |   2|   0
795 |WRAY 15-668      |Gaia DR3 5350886934200199168       |Em*|10 52 03.0360979272 -58 10 00.360977268|     ~   |10.88    |10.71    |     ~   |     ~   |10.147   |10.010   |9.799    |     ~   |B9                 |   6|   0
796 |WRAY 15-669      |Gaia DR3 5338255091804227200       |Em*|10 52 21.1349089536 -60 25 49.970531604|     ~   |12.22    |12.22    |     ~   |     ~   |11.566   |11.413   |11.199   |     ~   |~                  |   3|   0
797 |WRAY 15-670      |Gaia DR3 5239427378898023040       |Em*|10 52 11.6346953256 -65 34 12.133101324|     ~   |9.94     |9.79     |     ~   |     ~   |9.157    |9.063    |8.919    |     ~   |B9                 |  11|   0
798 |WRAY 15-672      |Gaia DR3 5242056650474420352       |Em*|10 52 46.5199998576 -61 40 38.801330652|     ~   |11.80    |11.51    |     ~   |     ~   |11.507   |11.447   |11.441   |     ~   |~                  |   2|   0
799 |WRAY 15-673      |Gaia DR3 5338207606640451072       |Em*|10 52 49.9937487168 -60 30 21.380347188|     ~   |10.96    |10.68    |     ~   |     ~   |10.422   |10.395   |10.397   |     ~   |B1/3               |   6|   0
800 |WRAY 15-674      |Gaia DR3 5338826322448009472       |Em*|10 53 05.0849987040 -58 58 09.804606816|     ~   |11.45    |11.58    |     ~   |     ~   |10.179   |10.078   |9.896    |     ~   |~                  |   4|   0
801 |WRAY 15-676      |Gaia DR3 5242090636594812800       |Em*|10 53 18.3849124200 -61 20 19.769496648|     ~   |11.14    |11.04    |     ~   |     ~   |10.479   |10.408   |10.316   |     ~   |B9                 |   4|   0
802 |WRAY 15-677      |Gaia DR3 5338872261413522560       |Be*|10 53 27.2624240616 -58 25 24.524985288|     ~   |9.28     |9.73     |9.65     |     ~   |9.044    |8.990    |8.929    |9.65     |Bp_sh              |  52|   0
803 |WRAY 15-678      |Gaia DR3 5338200425455290368       |Em*|10 53 24.6373240128 -60 44 51.833975676|     ~   |     ~   |     ~   |     ~   |     ~   |13.384   |11.172   |9.256    |     ~   |~                  |   6|   0
804 |WRAY 15-679      |Gaia DR3 5338979223270562688       |Em*|10 53 30.7678185912 -57 58 28.970886360|     ~   |11.64    |11.40    |11.37    |     ~   |10.844   |10.694   |10.472   |11.47    |OBe                |  11|   0
805 |WRAY 15-680      |Gaia DR3 5338191251404054784       |Em*|10 53 37.9416327336 -60 54 17.282102652|11.7     |11.51    |10.64    |     ~   |     ~   |7.311    |6.447    |6.105    |     ~   |~                  |   7|   0
