Alias1,gaia_id,source_id,ra,dec,Gmag,BPmag,RPmag,parallax,e_parallax,pmRA,e_pmRA,pmDE,e_pmDE,ruwe,teff,logg,feh,tmass_id,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,qual_tmass,wise_id,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,qual_wise,has_tmass_nf,has_wise_nf,radial_velocity,parallax_over_error,Gflux,e_Gflux,BPflux,e_BPflux,RPflux,e_RPflux,e_radial_velocity,ra_2mass,dec_2mass,ra_wise,dec_wise
Gaia DR3 4053636485258105472,Gaia DR3 4053636485258105472,4053636485258105472,263.9017386237294,-33.93270977574371,11.605036,12.463909,10.672386,0.3947526262316361,0.018375725,-0.4796670061376253,0.021280896,-1.1194442515602243,0.016312761,0.8665278,,,,17353641-3355577,9.303,8.914,8.645,0.025,0.028,0.026,AAA,J173536.46-335558.1,8.209,7.89,7.048,4.602,0.024,0.022,0.025,0.04,AAAA,True,True,,21.48229,429469.42075090745,347.15765,141205.9948107327,317.05243,426779.5236636447,757.0269,,263.90173,-33.932701,263.9019526,-33.9328262
Gaia DR3 4053759222599074048,Gaia DR3 4053759222599074048,4053759222599074048,264.08289560455546,-33.436748357257294,11.960196,13.431622,10.766896,0.4346348469554593,0.02690146,-0.2790377280382969,0.030146599,-1.388861772100745,0.02069609,0.8947165,,,,17361991-3326124,8.289,6.672,5.268,0.02,0.029,0.018,AAA,J173619.87-332612.0,3.673,1.712,2.452,2.402,0.291,0.125,0.024,0.022,BBAA,True,True,,16.156553,309648.1332340876,285.2183,57911.96850411488,199.11264,391200.8253549674,1182.168,,264.082968,-33.436787,264.0828332,-33.4366892
Gaia DR3 4056719657597352832,Gaia DR3 4056719657597352832,4056719657597352832,265.3043374941739,-30.54178587289768,15.3126335,19.232588,13.674655,0.0177164321104672,0.1373676,-0.1511578768863735,0.15750018,-1.235547502566135,0.08807866,1.1258383,3685.8962,0.8101,-0.2443,17411303-3032305,9.143,6.505,4.332,0.019,0.024,0.016,AAA,J174113.07-303231.5,0.44,-1.371,-0.419,-0.759,,,0.319,0.012,UUBA,True,True,,0.12897097,14121.90273512846,92.50319,276.9374151127688,8.477895,26871.760836753198,483.7055,,265.304303,-30.541815,265.3044602,-30.5421105
Gaia DR3 4056952612330664064,Gaia DR3 4056952612330664064,4056952612330664064,265.3062971815582,-30.06141914377464,20.111113,22.046812,18.354422,-2.354730692611185,0.9562635,-2.7640464629271877,0.9974116,-6.388814226892298,0.62825984,1.1685191,,,,17411351-3003409,13.52,11.699,10.558,0.035,0.049,0.05,AAA,J174113.55-300340.2,9.395,8.848,9.326,8.476,0.041,0.034,0.364,,AACU,True,True,,-2.4624286,170.02063771556777,0.80605036,20.734431746091577,4.0209394,360.9023601470748,5.4117756,,265.306301,-30.061384,265.3064862,-30.061182
Gaia DR3 4067059872964459648,Gaia DR3 4067059872964459648,4067059872964459648,266.4480892343259,-26.17410564086533,13.758127,14.434324,12.919595,0.342089115817085,0.020826355,0.7622825644935786,0.024009116,-0.0594677041562345,0.014813958,1.1721854,18586.207,4.2264,0.2979,17454754-2610267,11.393,10.893,10.619,,0.055,0.041,UAA,J174547.35-261025.8,9.102,8.945,8.43,5.401,0.025,0.024,0.243,0.039,AABA,True,True,,16.42578,59114.76174508608,20.515738,22997.84018051084,33.697197,53866.69782689087,34.985756,,266.448084,-26.174089,266.4473298,-26.1738478
Gaia DR3 4069167258796371712,Gaia DR3 4069167258796371712,4069167258796371712,270.51718314751105,-23.62838158545535,12.904261,14.3934355,10.931341,1.5643769387129498,0.20037086,-0.4162793884228239,0.25483158,-0.3394114459491044,0.17118354,5.549032,,,,18020412-2337419,6.666,4.343,2.423,0.026,0.236,0.256,ADD,J180204.17-233741.6,-2.171,-1.885,-2.424,-2.786,,,,0.009,UUUA,True,True,,7.8074074,129790.41404791312,6056.2295,23880.46578537576,5221.816,336218.53176040243,35806.414,,270.517192,-23.628325,270.517405,-23.6282478
Gaia DR3 4069557997737704960,Gaia DR3 4069557997737704960,4069557997737704960,269.9509173872219,-22.24786338267408,16.436249,19.42192,14.886448,0.0509133300963049,0.10468727,-3.8573443751520258,0.10498325,-7.115323766359621,0.07197576,1.0202706,4343.8433,2.0986,0.2014,17594822-2214521,11.396,10.29,9.474,0.023,0.027,0.025,AAA,J175948.22-221452.5,8.639,8.207,7.259,3.591,0.023,0.021,0.034,0.035,AAAA,True,True,,0.48633733,5017.035079922466,10.687452,232.62080955984567,19.613092,8801.956577465678,22.498621,,269.950933,-22.247822,269.9509511,-22.2479339
Gaia DR3 4070884386721226240,Gaia DR3 4070884386721226240,4070884386721226240,271.2184536172032,-20.63018132653212,12.609886,14.260022,11.380623,0.2395154288649805,0.030257257,-0.5725277174520857,0.03220989,-1.5002103315503332,0.022949707,0.88720614,,,,18045243-2037486,8.835,7.233,5.719,0.03,0.065,0.021,AAA,J180452.43-203748.2,4.036,3.045,2.674,2.528,0.182,0.337,0.017,0.021,BBAA,True,True,,7.915966,170212.83884274447,175.93816,27002.75874434956,114.94883,222284.41628355577,582.04785,,271.218461,-20.630177,271.2184913,-20.6300804
Gaia DR3 4094175552005597440,Gaia DR3 4094175552005597440,4094175552005597440,272.3349344879061,-20.315914673521096,21.093145,22.048481,18.907131,,,,,,,,,,,18092038-2018572,11.923,9.225,7.719,0.027,0.023,0.023,AAA,J180920.40-201855.0,7.173,6.101,2.01,1.643,0.037,0.026,,,AAUZ,True,True,,,68.81589602810787,3.3312097,20.70258371731428,19.195698,216.92316641898165,17.504648,,272.334934,-20.315897,272.3350106,-20.3152787
Gaia DR3 4094936822058475136,Gaia DR3 4094936822058475136,4094936822058475136,271.77150435452126,-20.254648046842387,19.390759,20.941416,18.185097,-0.2717609327527571,0.33230188,0.6368364905501898,0.42556906,-1.7473586041010716,0.2861785,0.9784021,,,,18070516-2015163,14.867,12.671,11.162,0.044,0.043,0.029,AAA,J180705.16-201516.2,10.052,9.476,8.919,5.208,0.036,0.031,0.182,0.083,AABA,True,True,,-0.8178134,330.098586705556,1.2511668,57.39193949071709,8.237551,421.8123820085384,7.9071236,,271.771524,-20.25453,271.7715129,-20.2545193
Gaia DR3 4095125220807894400,Gaia DR3 4095125220807894400,4095125220807894400,271.9873420403769,-19.39913728587429,9.210921,9.820375,8.414058,0.5240777871058655,0.019727122,1.0111881989007605,0.025249459,-1.9315195069281252,0.015932092,1.001202,,,,18075695-1923568,7.118,6.716,6.223,0.018,0.027,0.024,AAA,J180756.95-192356.6,5.33,4.999,4.317,3.348,0.097,0.074,0.016,0.036,AAAA,True,True,,26.566357,3895633.7648228025,1805.1322,1611634.799534581,1796.0712,3416135.792874958,4875.5825,,271.987313,-19.399134,271.9872947,-19.3990796
Gaia DR3 4095672915045892992,Gaia DR3 4095672915045892992,4095672915045892992,273.1712502535202,-18.44183366191579,20.911287,21.905334,19.24943,,,,,,,,,,,18124110-1826304,13.803,11.965,10.918,0.029,0.024,0.029,AAA,J181241.11-182629.4,10.24,9.663,7.319,2.064,0.033,0.037,0.039,0.032,AAAA,True,True,,,81.36392072000277,1.693294,23.62017577509572,8.1675205,158.26541492093543,13.475762,,273.17126,-18.441795,273.1713117,-18.4415276
Gaia DR3 4095702533139975168,Gaia DR3 4095702533139975168,4095702533139975168,273.23814746814264,-18.02399784542864,15.851981,19.420347,14.257655,0.2008854862341237,0.1289855,-0.5164826098090282,0.14308777,-1.9391151301112437,0.111469775,1.0823362,3997.7112,0.464,-1.15,18125713-1801263,10.639,8.664,8.046,0.023,0.086,0.029,AAA,J181257.05-180125.7,6.783,6.761,6.326,5.5,0.045,0.02,0.033,0.136,AAAB,True,True,,1.5574269,8593.184715586534,14.2072315,232.9582169271363,9.884699,15707.101025228234,53.529015,,273.238078,-18.023973,273.2377161,-18.0238182
Gaia DR3 4095728440383641344,Gaia DR3 4095728440383641344,4095728440383641344,273.34371417091336,-17.897317140186814,15.163286,18.13192,13.656455,0.2808902862981711,0.058547035,-0.7754942797286356,0.0705838,-2.079855822145339,0.054469816,1.0830175,4573.089,1.8886,-0.4774,18132248-1753503,10.305,9.269,8.659,0.023,0.024,0.02,AAA,J181322.46-175350.6,7.795,7.391,6.833,4.202,0.027,0.022,0.1,0.093,AAAA,True,True,,4.797686,16204.369768768232,29.171186,763.2188905341366,12.943131,27325.99797833856,162.60818,,273.343705,-17.897324,273.3436131,-17.8973924
Gaia DR3 4097438485888595584,Gaia DR3 4097438485888595584,4097438485888595584,273.5587909464745,-17.350789769086436,19.447847,20.593863,18.323515,0.42413266593996,0.37958854,1.4595226394802263,0.38993844,-3.5179994468545304,0.28022808,1.0304356,,,,18141409-1721027,16.131,14.264,12.239,0.086,0.075,0.041,ABA,J181414.06-172102.8,10.221,9.363,8.365,6.873,0.033,0.027,0.244,0.145,AABB,True,True,,1.1173484,313.19018915096194,1.3464749,79.04458215394571,9.150608,371.3233171482552,6.91197,,273.558729,-17.350752,273.558621,-17.3507872
Gaia DR3 4152380330315696640,Gaia DR3 4152380330315696640,4152380330315696640,275.81809520553867,-13.723926253988909,11.424642,12.225211,10.514838,0.5077685608153724,0.025314698,0.1149504963646892,0.031330507,-1.9962259697697708,0.024274299,1.1418451,,,,18231633-1343261,8.98,8.426,7.608,0.027,0.034,0.016,AAA,J182316.16-134323.5,5.508,7.461,3.274,3.317,0.141,0.06,0.055,0.085,BAAA,True,True,,20.05825,507095.83447334793,185.5138,175926.924026837,156.07072,493426.8806287517,279.15668,,275.818072,-13.723944,275.8173387,-13.723222
Gaia DR3 4152553773976467712,Gaia DR3 4152553773976467712,4152553773976467712,275.7460147650981,-13.208719832070154,20.851435,22.348734,19.072374,,,,,,,,,,,18225904-1312311,14.17,12.622,11.679,0.07,0.083,0.052,AEA,J182259.02-131230.7,10.653,10.461,9.946,8.001,0.046,0.048,0.309,0.378,AABC,True,True,,,85.97510688706436,1.4574406,15.70086014428643,0.7672344,186.29826595815484,15.386965,,275.746033,-13.208651,275.7459203,-13.2085467
Gaia DR3 4152574080574698752,Gaia DR3 4152574080574698752,4152574080574698752,276.5254971974058,-13.06959860783141,13.273623,14.974079,12.02381,0.3336338053711135,0.016039087,-0.1811503722149033,0.02057111,-1.674707801250573,0.015097858,1.0256708,,,,18260611-1304104,9.589,8.822,8.299,0.025,0.026,0.025,AAA,J182606.06-130408.9,7.346,7.053,6.787,7.167,0.022,0.017,0.028,,AAAU,True,True,,20.801296,92362.85699464308,249.5799,13988.949324700405,122.428986,122923.22550973685,997.69525,,276.525482,-13.069576,276.5252552,-13.0691576
Gaia DR3 4152844491726272640,Gaia DR3 4152844491726272640,4152844491726272640,275.2622003844378,-12.46268721528843,14.441739,15.38964,13.428237,0.2965484748243357,0.025122013,0.5460978439253015,0.025201106,0.8552844958255167,0.021042159,1.0517849,15178.509,3.7317,-0.323,18210292-1227456,11.7,11.119,10.64,0.051,0.053,0.034,EEA,J182102.89-122745.8,9.928,9.632,9.126,8.197,0.025,0.022,0.065,,AAAU,True,True,,11.804328,31495.698828244007,236.4171,9540.274767568197,214.12787,33718.12812215955,749.584,,275.262196,-12.462691,275.2620496,-12.4627303
Gaia DR3 4153009457139196032,Gaia DR3 4153009457139196032,4153009457139196032,276.76788547339135,-12.381305831915643,11.489074,12.920021,10.323075,0.3111734859141217,0.026431099,-0.1075121054007942,0.026509942,-1.5551356039110882,0.02258862,0.8552716,,,,18270427-1222526,8.209,7.566,6.955,0.019,0.017,0.021,AAA,J182704.29-122252.3,6.11,5.519,5.051,2.231,0.062,0.039,0.032,0.023,AAAA,True,True,,11.773006,477878.2334086177,915.4655,92770.183854064,502.4389,588746.0508868395,3306.3176,,276.767833,-12.381287,276.7679135,-12.3812096
Gaia DR3 4153250864340865408,Gaia DR3 4153250864340865408,4153250864340865408,276.1927909255111,-11.90765546950658,19.24604,,,0.8697280242165559,0.4268279,-3.144738612480074,0.60062957,-5.86154806294825,0.43752667,1.0813676,,,,18244626-1154270,13.399,12.277,11.419,0.078,0.098,0.071,AEA,J182446.26-115428.8,10.229,10.06,9.424,7.145,0.033,0.033,,,AAUU,True,True,,2.0376549,377.1645773455152,1.9316374,,,,,,276.192758,-11.907523,276.1927696,-11.9080114
Gaia DR3 4153716198275554176,Gaia DR3 4153716198275554176,4153716198275554176,274.7806757384169,-11.633108356658328,8.786692,9.286333,8.079405,0.4895679670542228,0.015724689,-0.6910921671557475,0.01814828,-1.5680966487778754,0.014444778,0.8894768,,,,18190736-1137591,7.016,6.283,5.492,0.026,0.029,0.018,AAA,J181907.39-113758.8,4.43,3.748,3.8,3.523,0.214,0.154,0.017,0.041,BBAA,True,True,,31.133715,5757979.947575202,3461.0957,2635624.578835536,6073.283,4649393.404678773,7996.5996,,274.780673,-11.633092,274.7808177,-11.6330136
Gaia DR3 4154273822474507136,Gaia DR3 4154273822474507136,4154273822474507136,276.2509760287781,-10.556588816792075,16.568026,19.117973,15.124796,0.1540590330456671,0.113543704,-3.9239313701757217,0.10782957,-6.042096513693968,0.0969413,0.99829143,8488.372,3.5864,0.092,18250024-1033236,12.21,11.236,10.611,0.033,0.048,0.038,AAA,J182500.27-103324.0,9.684,9.312,8.295,6.951,0.026,0.023,0.063,0.163,AAAB,True,True,,1.3568258,4443.613201600764,14.291964,307.7709457120407,7.371026,7067.077062746077,69.6996,,276.251004,-10.556565,276.2511305,-10.5566746
Gaia DR3 4155087293585479552,Gaia DR3 4155087293585479552,4155087293585479552,277.8188576064685,-10.15695913357987,13.101437,15.268478,11.732878,0.078886284999101,0.033555053,-1.4444227250687875,0.039545417,-3.2700999968594058,0.032649096,1.1150858,,,,18311653-1009250,9.093,8.287,7.632,0.029,0.038,0.024,AAA,J183116.51-100925.0,6.82,6.648,5.992,4.487,0.09,0.038,0.02,0.043,AAAA,True,True,,2.350951,108236.04430404524,142.32596,10666.588361951455,49.245632,160696.73502017852,409.3654,,277.818879,-10.156946,277.8188008,-10.1569494
Gaia DR3 4252854660635487360,Gaia DR3 4252854660635487360,4252854660635487360,279.61337339047464,-7.179224933039862,20.260538,21.684223,18.318832,-2.0559031793356737,1.3534043,2.350091996239632,1.3191589,-2.0364920864375624,0.86932635,1.0904809,,,,18382716-0710447,13.643,11.727,10.589,0.032,0.024,0.024,AAA,J183827.16-071044.9,9.628,9.065,8.518,6.539,0.03,0.026,0.41,,AACU,True,True,,-1.5190606,148.1601833915654,2.1956823,28.95526451259769,8.634294,372.928309207878,19.090307,,279.613203,-7.179108,279.6131707,-7.1791635
Gaia DR3 4252915412949854208,Gaia DR3 4252915412949854208,4252915412949854208,279.07199803632136,-7.085316799795849,18.211533,21.70367,15.976214,1.8049883479124695,0.46344358,-2.237044157130776,0.50249547,-5.585042085863523,0.4094969,2.486415,,,,18361729-0705072,10.343,8.399,7.381,0.021,0.021,0.021,AAA,J183617.22-070506.4,4.833,4.435,5.42,4.091,0.08,0.022,0.03,,AAAU,True,True,,3.8947318,977.988083911834,5.5730186,28.44127481726339,5.7290335,3226.0601354572614,40.47348,,279.072046,-7.085354,279.0717722,-7.0851176
