source_id,pmRA,e_pmDE,ra,parallax,radial_velocity,e_Gflux,parallax_over_error,BPflux,teff,e_radial_velocity,BPmag,logg,ruwe,RPflux,e_pmRA,Gmag,gaia_id,RPmag,feh,e_RPflux,pmDE,e_BPflux,e_parallax,Gflux,dec,Jmag,Kmag,qual_tmass,e_Kmag,e_Hmag,tmass_id,Hmag,e_Jmag,tmass_oid,e_W4mag,e_W3mag,e_W2mag,W1mag,W2mag,wise_id,e_W1mag,W4mag,qual_wise,W3mag,allwise_oid,Alias1
5866708280185028992,-6.725414267303613,0.11381391,215.34638512146725,0.1704747184993299,,3.808681,1.4667512,76.4432469142305,3672.2288,,20.630194,0.5083,1.1645705,5851.878874504014,0.103298835,16.918383,Gaia DR3 5866708280185028992,15.329658,-0.49,13.922655,-2.662684556923207,3.911643,0.11622607,3218.05576816833,-60.30115150582683,11.68,9.619,AAA,0.019,0.022,14212314-6018041,10.425,0.022,14212314-6018041,0.057,0.033,0.022,8.929,8.462,J142123.13-601804.1,0.024,5.057,AAAA,7.058,55998312,Gaia DR3 5866708280185028992
5867123139651286528,-5.497625281126931,0.019349413,208.95181676023464,0.27965296166928455,,175.3365,11.521706,139236.14983920736,9999.632,,12.479162,2.462,1.4341173,554145.2043210866,0.016546622,11.437988,Gaia DR3 5867123139651286528,10.388837,-2.4526,173.49251,-0.4360885469255896,64.49163,0.024271837,500900.4775513624,-61.16346294507219,8.913,7.697,AAA,0.036,0.042,13554846-6109484,8.369,0.021,13554846-6109484,0.08,0.031,0.021,7.098,6.726,J135548.43-610948.5,0.048,5.181,AAAA,6.002,52891582,Gaia DR3 5867123139651286528
5868410289859556480,-6.732484641862929,0.08866636,202.06611304759045,-0.06769397464909979,,3.1816163,-0.726489,75.40642633348347,4153.7754,,20.645021,1.1053,1.0303227,3370.2742297242216,0.07595635,17.473118,Gaia DR3 5868410289859556480,15.928733,-0.8806,22.824217,-0.8330271514365775,5.7146683,0.09317963,1930.6329670427162,-62.10654309227397,12.525,10.683,AAA,0.026,0.029,13281587-6206235,11.4,0.028,13281587-6206235,0.114,0.046,0.025,9.897,9.491,J132815.86-620623.3,0.029,7.044,AAAB,8.677,49579320,Gaia DR3 5868410289859556480
5868477256969661824,-6.09346943335995,0.013741015,199.59727216765648,0.21258564026804572,,41.08538,15.101646,20146.517460322775,,,14.578042,,0.99262553,73671.30513928765,0.010805723,13.588581,Gaia DR3 5868477256969661824,12.57965,,113.449394,-0.9407025273295079,35.476936,0.0140769845,69105.76464015881,-62.47256544080703,10.896,9.888,AAA,0.025,0.022,13182335-6228211,10.328,0.022,13182335-6228211,0.141,0.095,0.024,9.341,8.986,J131823.34-622821.2,0.03,7.201,AAAB,8.227,48324209,Gaia DR3 5868477256969661824
5868490073153134592,-6.476340185609061,0.015561755,199.5042801197145,0.2722257861456949,,110.422195,17.034637,197768.54530121858,25258.09,,12.098149,3.6015,1.0348219,390984.4852673086,0.012964892,11.524111,Gaia DR3 5868490073153134592,10.767497,-0.969,101.4449,-0.8052117783296588,74.36989,0.01598072,462703.14903440827,-62.43465792904176,9.753,8.811,AAA,0.023,0.026,13180103-6226047,9.384,0.026,13180103-6226047,0.098,0.035,0.018,8.508,8.239,J131801.03-622604.7,0.022,5.283,AAAA,7.627,48453319,Gaia DR3 5868490073153134592
5876692803522748928,-4.822223218061987,0.01587136,229.58645114940697,0.15647359679076733,,39.57774,10.982916,55166.64568698668,,,13.484351,,1.0241531,200021.39275840574,0.016002452,12.508653,Gaia DR3 5876692803522748928,11.495204,,74.582214,-4.933009221796048,32.506767,0.014246999,186846.77990243863,-59.63816752197172,9.898,8.749,AAA,0.022,0.024,15182075-5938173,9.385,0.022,15182075-5938173,0.084,0.023,0.019,8.307,7.907,J151820.75-593817.3,0.022,5.98,AAAA,7.061,58445422,Gaia DR3 5876692803522748928
5876711014185935232,-4.714407247842062,0.28237736,228.740452484073,0.3913193631993594,,1546.2393,1.4550242,329635.5350177305,,,11.543457,,13.429152,727450.1522057698,0.30989712,11.140757,Gaia DR3 5876711014185935232,10.093388,,1181.5214,-4.095319685099828,653.1596,0.26894355,658633.7027708722,-59.841744710505296,8.928,8.148,AAA,0.023,0.038,15145771-5950301,8.481,0.026,15145771-5950301,0.053,0.015,0.019,7.712,7.344,J151457.71-595030.2,0.026,5.731,AAAA,6.59,57688171,Gaia DR3 5876711014185935232
5876717993562192768,-4.287530707680757,0.049751278,229.24664225551916,0.09938479468908312,,3.4440382,2.3027744,1300.303217961951,,,17.55343,,1.1744909,10147.151811710271,0.042879563,15.980978,Gaia DR3 5876717993562192768,14.732035,,12.535479,-3.7099975237139646,7.453785,0.043158717,7630.543812450572,-59.610429388411056,12.717,11.291,AAA,0.034,0.042,15165920-5936374,12.0,0.036,15165920-5936374,0.202,0.165,0.023,10.707,10.38,J151659.24-593637.7,0.025,7.713,AABB,9.574,58546777,Gaia DR3 5876717993562192768
5876955556746594048,-3.962113951350313,0.022656685,228.88591255013543,0.2900468393433369,,2827.397,13.649509,252733.06850758783,,,11.831887,,1.1094444,572300.0806633433,0.020705158,11.188971,Gaia DR3 5876955556746594048,10.353836,,7669.011,-3.204461217918616,3314.3694,0.021249617,630025.7956502083,-59.041874043072184,9.278,8.452,AAA,0.023,0.025,15153262-5902307,8.858,0.024,15153262-5902307,0.062,0.018,0.02,7.886,7.556,J151532.63-590230.7,0.025,6.221,AAAA,6.861,60668616,Gaia DR3 5876955556746594048
5877138831615057792,-5.012616923894144,0.04932332,229.15396190453558,0.18747545631856918,,45.523037,4.5195737,11700.008405723873,7961.83,,15.1680765,2.5125,2.5213888,109739.6549224649,0.03837663,13.420536,Gaia DR3 5877138831615057792,12.146987,-1.1894,122.37708,-3.621830287820048,22.491665,0.041480783,80673.7641949396,-58.166345270284,9.862,8.82,AAA,0.023,0.026,15163696-5809587,9.176,0.024,15163696-5809587,,,0.023,8.407,8.239,J151636.94-580958.7,0.023,3.669,AAUU,7.643,64036231,Gaia DR3 5877138831615057792
5877142611191579904,-5.099946397940762,0.0693097,228.91426510792337,0.3002260985100651,,95.402,4.9954,8358.966904327586,7843.8467,,15.533161,1.847,0.89875,115683.67208528792,0.057116415,13.451188,Gaia DR3 5877142611191579904,12.089715,-1.0197,361.6165,-3.4701209587968274,32.02386,0.060100514,78428.07985162198,-58.137812664900316,9.372,7.74,AAA,0.034,0.044,15153943-5808159,8.461,0.021,15153943-5808159,0.049,0.035,0.021,7.069,6.633,J151539.42-580816.0,0.044,4.712,AAAA,5.862,64146949,Gaia DR3 5877142611191579904
5877171164129749504,-4.585952966892815,0.09734852,229.44287061632158,0.2632683167511088,,19.27604,2.8184383,819.8543924735875,3931.5515,,18.054201,0.4533,1.3347329,27535.29851896272,0.09192503,15.443135,Gaia DR3 5877171164129749504,13.648171,-0.9428,164.21022,-3.6458501325746577,29.641193,0.093409285,12522.543876447366,-57.94979777878176,10.343,8.46,AAA,0.023,0.024,15174630-5756592,9.261,0.023,15174630-5756592,0.055,0.018,0.019,7.669,7.396,J151746.29-575659.2,0.02,5.803,AAAA,6.78,64880187,Gaia DR3 5877171164129749504
5877854957310171904,-5.6168684877620105,0.024407847,221.67017096012552,0.15529023402136113,,8.8546095,6.031379,3053.303708768422,,,16.626617,,1.0282725,19053.234994382296,0.025176782,15.213499,Gaia DR3 5877854957310171904,14.047974,,32.51836,-3.4142871635656267,7.3240747,0.025747051,15472.025601492891,-61.115860918647805,12.006,10.972,UAU,,0.028,14464085-6106569,11.441,,14464085-6106569,0.263,0.047,0.022,10.304,10.105,J144640.84-610656.8,0.107,8.127,AAAB,9.258,53060248,Gaia DR3 5877854957310171904
5878214222686129408,,,222.74280542187512,,,1343.4733,,132323.25605699903,,,12.5344515,,,629162.5891470078,,11.918641,Gaia DR3 5878214222686129408,10.250988,,1639.823,,485.96634,,321729.0820305196,-59.857348605657876,8.595,7.637,AAA,0.033,0.047,14505825-5951261,8.07,0.029,14505825-5951261,0.245,0.052,0.021,7.038,6.769,J145058.27-595126.3,0.043,5.124,AAAB,5.999,57630554,Gaia DR3 5878214222686129408
5878338708038978304,-4.599131041146223,0.012208455,218.15703856771836,0.24509218153820425,,194.46826,19.962183,70692.51486238782,6778.47,,13.215109,2.142,0.8746026,262021.14432799222,0.011206373,12.205279,Gaia DR3 5878338708038978304,11.202055,-0.7094,581.4009,-2.2895500525542936,144.2862,0.012277825,247078.45225134434,-61.498379075582164,9.793,9.063,AAA,0.021,0.024,14323770-6129541,9.363,0.021,14323770-6129541,0.153,0.036,0.02,8.74,8.527,J143237.69-612954.1,0.023,7.459,AAAB,8.096,51704545,Gaia DR3 5878338708038978304
5879035832756714112,-5.491926163398332,0.10070958,221.72317209297782,0.15045831535287746,,29.045572,1.2148573,390.5588536483649,,,18.859325,,1.1332711,48722.4865015459,0.106370606,14.659251,Gaia DR3 5879035832756714112,13.028572,,85.749306,-3.0094677558437164,7.4350896,0.12384855,25777.822065393557,-59.32731855147802,8.929,6.819,AAA,0.021,0.04,14465358-5919382,7.603,0.023,14465358-5919382,,0.02,0.055,6.026,5.626,J144653.57-591938.2,0.093,4.895,AAAU,5.239,59596874,Gaia DR3 5879035832756714112
5879722512132456192,-5.979928341494772,0.17635621,226.04648733061225,0.018371343319310868,,14.181321,0.10470178,55.22039340749493,,,20.983294,,1.6275631,5549.140241931315,0.1559893,17.094109,Gaia DR3 5879722512132456192,15.387331,,67.55985,-3.836107709170473,7.681405,0.17546351,2737.178345230822,-58.456041387329854,11.347,9.096,AAA,0.02,0.025,15041116-5827217,10.01,0.024,15041116-5827217,0.072,0.032,0.021,8.166,7.777,J150411.13-582721.5,0.024,6.2,AAAA,7.237,62910942,Gaia DR3 5879722512132456192
5882956313277086336,-6.785579426243855,0.02314798,230.81918041247593,0.36495932528617786,,527.7053,16.168596,30525.26524341324,7143.5605,,14.126894,2.1229,1.111532,210255.0618854656,0.022702744,12.643208,Gaia DR3 5882956313277086336,11.44103,-0.7934,1870.976,-5.065223504441109,227.62741,0.022572111,165068.34058447593,-57.738852130034715,9.588,8.617,AAA,0.021,0.024,15231661-5744198,9.02,0.023,15231661-5744198,0.091,0.028,0.019,8.029,7.769,J152316.60-574419.8,0.023,6.317,AAAA,7.159,65705269,Gaia DR3 5882956313277086336
5883143260293256064,-5.317297182105648,1.7081715,230.14963531890803,-0.9594663587614498,,0.8569041,-0.72524524,24.30411939524186,,,21.874342,,1.0959679,232.78222999406844,1.3048941,20.65819,Gaia DR3 5883143260293256064,18.83052,,9.1079855,-3.1198427804646185,6.3800044,1.3229544,102.72367069234426,-57.45333406685967,13.883,11.057,AAA,0.025,0.023,15203591-5727119,12.146,0.033,15203591-5727119,0.123,0.04,0.022,9.995,9.443,J152035.91-572712.1,0.024,7.111,AAAB,8.457,66835821,Gaia DR3 5883143260293256064
5883566881502595968,-4.90575634903492,0.22683854,234.4437656306877,0.05792116059131441,,1.4258866,0.23141725,28.570661549468298,,,21.698742,,1.2785497,1396.0789940383465,0.25350308,18.549458,Gaia DR3 5883566881502595968,16.88562,,5.9038105,-4.706382121145525,4.374455,0.25028884,716.4134942235476,-56.14597413918702,13.124,9.957,AAA,0.021,0.025,15374651-5608454,11.38,0.025,15374651-5608454,0.089,0.04,0.02,8.554,7.858,J153746.51-560845.4,0.023,6.265,AAAA,7.264,72122890,Gaia DR3 5883566881502595968
