_r,2MASS,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qflg,query_idx,gaia_id,sep_arcsec
0.477,18244626-1154270,276.192758,-11.907523,13.399,12.277,11.419,0.078,0.098,0.071,AEA,34,Gaia DR3 4153250864340865408,0.49079112824952664
4.347,18244656-1154283,276.19401,-11.907876,14.332,13.001,12.462,0.072,0.057,0.046,AAA,34,Gaia DR3 4153250864340865408,4.367000276307135
0.177,18233233-1203585,275.884719,-12.06627,14.45,12.9,11.691,0.06,0.073,0.04,AAA,35,Gaia DR3 4153253750568925568,0.20779054169883165
0.051,18190736-1137591,274.780673,-11.633092,7.016,6.283,5.492,0.026,0.029,0.018,AAA,36,Gaia DR3 4153716198275554176,0.0596703981076676
0.099,18250024-1033236,276.251004,-10.556565,12.21,11.236,10.611,0.033,0.048,0.038,AAA,37,Gaia DR3 4154273822474507136,0.1309612650624205
0.058,18311653-1009250,277.818879,-10.156946,9.093,8.287,7.632,0.029,0.038,0.024,AAA,38,Gaia DR3 4155087293585479552,0.0893453886297872
0.064,18293384-0839020,277.39103,-8.650582,14.066,12.752,11.925,0.022,0.022,0.02,AAA,39,Gaia DR3 4156611555997469824,0.09584757725902464
0.748,18382716-0710447,279.613203,-7.179108,13.643,11.727,10.589,0.032,0.024,0.024,AAA,40,Gaia DR3 4252854660635487360,0.7399975804422667
0.214,18361729-0705072,279.072046,-7.085354,10.343,8.399,7.381,0.021,0.021,0.021,AAA,41,Gaia DR3 4252915412949854208,0.21747600424891803
0.11,18461505-0542210,281.562741,-5.70584,12.104,11.406,10.926,0.033,0.03,0.03,AAA,42,Gaia DR3 4253520659831494784,0.14030368021721584
0.09,19035902-0419018,285.995926,-4.317193,9.524,9.282,8.917,0.027,0.029,0.023,AAA,43,Gaia DR3 4254678995275751808,0.10596908224611083
0.077,18441314-0347577,281.054785,-3.799382,8.295,7.056,5.773,0.027,0.044,0.023,AAA,44,Gaia DR3 4258284534415364224,0.06624893114920981
0.041,18420630-0348224,280.526285,-3.806245,11.946,10.216,9.162,0.029,0.022,0.021,AAA,45,Gaia DR3 4258462655287419776,0.06136181420414409
0.071,18424692-0313172,280.695503,-3.221458,13.508,12.834,12.325,0.027,0.028,0.027,AAA,46,Gaia DR3 4258557110213184896,0.08927949034385797
4.32,18431696-0308552,280.820668,-3.148691,14.932,13.367,12.745,0.07,0.109,0.08,AAA,47,Gaia DR3 4258650877925467264,4.304787541465697
0.191,18431722-0308568,280.821786,-3.149118,12.639,11.029,10.377,,,0.039,UUA,47,Gaia DR3 4258650877925467264,0.1619439715784826
0.036,18451738-0248130,281.322436,-2.80363,9.97,8.113,6.602,0.032,0.034,0.016,AAA,48,Gaia DR3 4258685375104408960,0.058425827266711056
0.178,18442065-0236510,281.086075,-2.614179,12.744,11.571,10.72,0.032,0.038,0.026,AAA,49,Gaia DR3 4258706295872782592,0.20172806099179805
4.922,18492765-0104194,282.365236,-1.072069,14.205,12.778,12.179,0.075,0.062,0.031,AAA,50,Gaia DR3 4260047188967522304,4.949753583241446
0.087,18492733-0104207,282.3639,-1.072441,10.943,10.068,9.473,0.028,0.033,0.024,AAA,50,Gaia DR3 4260047188967522304,0.055942784656872684
0.034,18460097-0114349,281.504053,-1.243048,12.759,11.425,10.642,0.023,0.022,0.021,AAA,51,Gaia DR3 4260073263704313728,0.022198244881074553
0.137,18432217-0103371,280.842413,-1.060323,11.496,10.782,10.225,0.03,0.032,0.029,AAA,52,Gaia DR3 4260190366014987904,0.15440353722720077
0.136,18524369+0008415,283.18208,0.144883,12.49,10.684,9.614,0.025,0.024,0.022,AAA,53,Gaia DR3 4266263411103249920,0.14917532630403701
0.754,19012711+0351542,285.362996,3.865061,14.248,12.267,10.989,0.044,0.041,0.037,AAA,54,Gaia DR3 4281254668018228096,0.7766243331880659
0.23,19024235+0654450,285.676466,6.912508,13.109,11.619,11.05,0.035,0.035,0.03,AAA,55,Gaia DR3 4306688266055108480,0.2542976955103379
0.051,19100639+0945254,287.52666,9.757074,14.727,13.441,12.625,0.037,0.034,0.03,AAA,56,Gaia DR3 4309211331708602240,0.054910213163739896
0.082,19183135+1343392,289.630629,13.727567,12.788,11.035,9.966,0.026,0.028,0.022,AAA,57,Gaia DR3 4319406076548902784,0.09937190449318403
0.109,19204038+1350352,290.168277,13.843117,13.574,11.804,10.762,0.036,0.036,0.025,AAA,58,Gaia DR3 4319423252107433216,0.11781836491864009
0.043,19173280+1408279,289.386687,14.141106,13.902,12.723,11.667,0.035,0.039,0.028,AAA,59,Gaia DR3 4319502902284779392,0.058901037874078035
4.967,19225332+1408526,290.722191,14.147968,13.784,12.593,12.077,0.031,0.066,0.07,AAE,60,Gaia DR3 4319620373924501120,4.9612538974558165
