_r,2MASS,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qflg,query_idx,gaia_id,sep_arcsec
4.231,17142564-3809472,258.606835,-38.163128,12.502,12.413,10.572,,0.06,,UEU,153,Gaia DR3 5973487970376696320,4.261746609647614
0.517,17142539-3809499,258.605807,-38.163883,12.012,11.34,9.787,,0.059,,UAU,153,Gaia DR3 5973487970376696320,0.5269591560252794
0.077,17142565-3809537,258.606903,-38.164925,11.595,10.069,9.223,,0.033,0.034,UAA,154,Gaia DR3 5973487970401339904,0.10787507654190322
4.878,17142539-3809499,258.605807,-38.163883,12.012,11.34,9.787,,0.059,,UAU,154,Gaia DR3 5973487970401339904,4.875340755653738
0.152,17142471-3809493,258.602991,-38.163708,12.454,10.78,9.794,0.049,0.046,0.042,AAA,155,Gaia DR3 5973487970401341696,0.17977933263403406
0.27,17320330-3504323,263.013785,-35.075657,11.331,10.555,10.171,0.028,0.039,0.037,AAA,156,Gaia DR3 5975043607541238016,0.2878577732654701
0.152,17250885-3411124,261.286913,-34.186779,7.036,6.533,5.865,0.019,0.061,0.018,AAA,157,Gaia DR3 5976045567560658560,0.18095394420030925
0.028,15592528-5412427,239.855337,-54.21188,10.935,10.242,9.759,0.03,0.035,0.029,AAA,158,Gaia DR3 5980784844951253376,0.05034538676113894
0.139,16002643-5211099,240.110125,-52.186092,11.526,10.195,9.289,0.021,0.022,0.021,AAA,159,Gaia DR3 5981056802278006144,0.16569310347260297
0.344,16005047-5142449,240.210328,-51.712494,9.127,7.764,6.432,0.02,0.016,0.018,AAA,160,Gaia DR3 5981635832593607040,0.3503641066469907
3.947,12143164-6258481,183.631864,-62.980045,9.871,8.682,7.613,0.079,0.075,0.033,EEA,161,Gaia DR3 6054402160638288000,3.9357557605246156
1.165,12143171-6258532,183.632143,-62.981457,9.466,8.301,7.666,,,0.046,UUA,161,Gaia DR3 6054402160638288000,1.172687771929667
0.049,12143390-6258486,183.641288,-62.980186,11.663,10.383,9.617,0.029,0.029,0.025,AAA,162,Gaia DR3 6054402160643310208,0.06616035725909335
4.538,12143092-6258525,183.628836,-62.98127,13.152,11.97,9.353,0.14,0.237,,BDU,163,Gaia DR3 6054402164972278528,4.508317379396872
1.643,12143171-6258532,183.632143,-62.981457,9.466,8.301,7.666,,,0.046,UUA,163,Gaia DR3 6054402164972278528,1.6596428295843906
0.124,12143309-6258509,183.637881,-62.980816,11.438,10.264,9.55,0.072,0.063,0.058,AAA,164,Gaia DR3 6054402164972282240,0.13456005677268154
4.494,12143272-6258548,183.636343,-62.981892,12.634,11.605,10.776,0.085,0.159,0.111,AEE,164,Gaia DR3 6054402164972282240,4.485504164393579
0.087,12121681-6246145,183.070057,-62.770706,12.067,10.719,9.88,0.035,0.03,0.028,AAA,165,Gaia DR3 6054469643164086016,0.11282578819999814
0.105,12504897-6224397,192.704079,-62.411037,13.32,11.919,11.088,0.037,0.041,0.024,AAA,166,Gaia DR3 6055240641333628800,0.13039022200658243
